Sitio,ID,Encuentro,distancia a sendero,Distrecorr,TipoMov,Actividad,Sexo,Edad,Hora formato de 12 hrs,Hora de encuentro (F24),Mes,Fecha,Temporada,HUM,TEMPAMB,TC,TS,LHC,Peso ,HOJA,SUELO,HERB,ARBUS,ARBO,DOSEL,altitid,Localidad,Estado,Region,Revisor
Conservado,1,1,185.0,0,Refugiado,Moviendose,Macho,Adulto,06:15pm,18:15:00,Marzo,31/03/2018,Secas,70,15,15.5,15.5,5.92,19.4,80,5,15,0,0,86.32,1526 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,2,190.0,4.23,Ajuste Local ,Moviendose,Macho,Adulto,07:20pm,19:20:00,Marzo,31/03/2018,Secas,75,15,14.1,14,5.92,19.4,70,10,10,0,5,91.52,1538 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,3,194.0,4.23,Ajuste Local ,Moviendose,Macho,Adulto,08:22pm,20:22:00,Marzo,31/03/2018,Secas,60,14.5,14.3,13.9,5.92,19.4,75,10,10,0,5,86.32,1536 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,4,184.4,15.13,Movimiento Exploratorio,Moviendose,Macho,Adulto,10:25pm,22:25:00,Marzo,31/03/2018,Secas,60,15.2,14.2,14.2,5.92,19.4,80,5,10,0,5,93.6,1548 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,6,189.0,0,Refugiado,Refugiado,Macho,Adulto,09:01am,09:01:00,Abril,01/04/2018,Secas,66,13.8,14.1,14.2,5.92,19.4,70,15,5,0,10,92.3,1562 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,5,189.0,8.64,Movimiento Exploratorio,Moviendose,Macho,Adulto,01:27am,01:27:00,Abril,01/04/2018,Secas,65,14,14.2,13.8,5.92,19.4,70,15,5,0,10,85.28,1562 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,7,196.7,8.83,Movimiento Exploratorio,Refugiado,Macho,Adulto,10:05am,10:05:00,Abril,01/04/2018,Secas,na,14,15.9,15.8,5.92,19.4,70,15,5,0,10,92.3,1534 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,8,192.3,6.64,Movimiento Exploratorio,Refugiado,Macho,Adulto,11:10am,11:10:00,Abril,01/04/2018,Secas,na,15,16.7,16.1,5.92,19.4,70,15,5,0,10,92.3,1540 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,9,199.0,3.07,Ajuste Local ,Refugiado,Macho,Adulto,12:10pm,12:10:00,Abril,01/04/2018,Secas,na,15.3,16.5,16.1,5.92,19.4,70,15,5,0,10,92.3,1546 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
Conservado,1,10,190.0,6.81,Movimiento Exploratorio,Refugiado,Macho,Adulto,03:05pm,15:05:00,Abril,01/04/2018,Secas,na,16.5,17.3,17.3,5.92,19.4,70,15,5,0,10,92.3,1534 m,Santa cruz tepetotutla Oaxaca,Oaxaca,SN,Medardo Arreortua
