(Intercept),DOSEL,HOJA,Sexo,Sitio,TS,df,logLik,AICc,delta,weight
2.364483118942759,NA,NA,NA,NA,NA,3,-351.79315102920873,709.8193117671553,0,0.160650872825166
2.4151996595930862,NA,NA,NA,+,NA,4,-351.40275646549446,711.197669793734,1.3783580265786668,0.0806448144339724
2.369384348868756,0.0493729181971435,NA,NA,NA,NA,4,-351.490153632638,711.3724641280211,1.553152360865738,0.0738958994209108
2.431302620482694,NA,NA,+,NA,NA,4,-351.502706806228,711.3975704752011,1.5782587080457233,0.0729740694192064
2.3638324483350237,NA,-0.03564836014070464,NA,NA,NA,4,-351.67549723473803,711.7431513322211,1.923839565065805,0.0613940998016207
2.3660245662339516,NA,NA,NA,NA,0.018337579675592696,4,-351.76751355540387,711.9271839735528,2.1078722063974737,0.0559969606656029
2.5220996254105557,NA,NA,+,+,NA,5,-350.85056015671427,712.2951797193691,2.4758679522137754,0.0465859755757324
2.4415962385782737,NA,-0.07574518930622702,NA,+,NA,5,-350.94969672801926,712.4934528619791,2.674141094823767,0.0421891454537634
2.4513549578097638,0.062491660912294494,NA,+,NA,NA,5,-351.0467765083856,712.6876124227118,2.8683006555564816,0.0382859577606103
2.370598776090241,0.06445552626744946,-0.0561989199813894,NA,NA,NA,5,-351.2069978330865,713.0080550721136,3.1887433049582796,0.0326179211597349
2.4070421389780097,0.03538902118424845,NA,NA,+,NA,5,-351.2605940895571,713.1152475850548,3.295935817899476,0.0309157452667545
2.422681741628331,NA,NA,NA,+,0.03542543693481529,5,-351.309261523936,713.2125824538126,3.3932706866572744,0.0294471807452768
2.372989558186479,0.056187066895235,NA,NA,NA,0.034960295509737914,5,-351.3998795738033,713.3938185535471,3.574506786391794,0.0268960685518142
2.423440722496135,NA,-0.017442332532757343,+,NA,NA,5,-351.47848667093206,713.5510327478047,3.7317209806493565,0.024862807902282
2.4308402546697647,NA,NA,+,NA,0.0020454402260657845,5,-351.50236304018165,713.5987854863039,3.779473719148541,0.0242762051593969
2.364746565306203,NA,-0.0336762958201504,NA,NA,0.011205306410733914,5,-351.66618956263136,713.9264385312033,4.107126764047962,0.0206078101329114
2.520458137686856,NA,-0.056057286626988695,+,+,NA,6,-350.6237194867354,714.0874389734709,4.268127206315512,0.0190138928666393
2.5166008225545857,0.04490741550208908,NA,+,+,NA,6,-350.62822672002613,714.0964534400523,4.27714167289696,0.0189283856609442
2.4334515050274392,0.05039539934801019,-0.08727005735041049,NA,+,NA,6,-350.66926107941464,714.1785221588293,4.359210391673969,0.0181673917090666
2.520141149507531,NA,NA,+,+,0.01709104951132009,6,-350.8291636698712,714.4983273397424,4.6790155725871045,0.0154827380995942
2.445627487396857,NA,-0.07247421054353372,NA,+,0.026730812020107714,6,-350.89667754743937,714.6333550948788,4.814043327723425,0.0144719436559505
2.4366636381639784,0.06921076095037508,-0.03550145122682109,+,NA,NA,6,-350.9464565128523,714.7329130257046,4.913601258549306,0.0137691817643312
2.4484221834989115,0.06583995329917239,NA,+,NA,0.019187071262083848,6,-351.02014791215936,714.8802958243188,5.0609840571634095,0.0127909960531269
2.4149573957039867,0.04215169382057607,NA,NA,+,0.04448679975635455,6,-351.11578648520396,715.0715729704079,5.252261203252601,0.011624360241923
2.373084671473469,0.06884975083960745,-0.0525969782519794,NA,NA,0.027126730338858332,6,-351.1532533657747,715.1465067315494,5.327194964394039,0.0111968897230526
2.5117880269998154,0.05310617366222908,-0.06610003306900228,+,+,NA,7,-350.31506783243026,715.7614487961737,5.94213702901834,0.00823311967416905
2.4234589482973257,NA,-0.017458679349568254,+,NA,-1.3398200063027921e-4,6,-351.47844870544316,715.7968974108863,5.977585643731004,0.00808847894549507
2.437977227841247,0.05534889926468193,-0.08355332723531825,NA,+,0.036847288323092066,7,-350.56874527127746,716.2688036738681,6.449491906712751,0.00638842376154528
2.5133416943999056,0.04887851010588367,NA,+,+,0.02703006769035853,7,-350.57481638780916,716.2809459069315,6.461634139776152,0.00634975639225574
2.51870811389015,NA,-0.055071287714573654,+,+,0.013266748449309706,7,-350.6109614860777,716.3532361034686,6.533924336313248,0.00612434217385393
2.434511996904541,0.07177157081248013,-0.03418386959624909,+,NA,0.016333648924500236,7,-350.92740094118045,716.9861150136741,7.166803246518725,0.00446304779776305
2.508373494870373,0.05631113981632707,-0.0647239780073327,+,+,0.023867399844903325,8,-350.2737974125003,718.0169825801026,8.197670812947308,0.00266551720553325
